word,translation,explanation
絵,え,絵画。音読みは「かい」（例：絵画 かいが）だが単独では訓読みの「え」。
歌,うた,歌う内容。動詞形は「歌う（うたう）」。
山,やま,高い地形。音読みは「さん」（例：富士山 ふじさん）。
川,かわ,水が流れる地形。音読みは「せん」（例：河川 かせん）。
海,うみ,大きな水域。音読みは「かい」（例：海外 かいがい）。
空,そら,頭上の広がり。訓読みでは他に「あ（く）」「から」とも読む多音字。
雨,あめ,空から降る水。音読みは「う」（例：雨天 うてん）。
雪,ゆき,空から降る白い結晶。音読みは「せつ」（例：積雪 せきせつ）。
風,かぜ,空気の動き。音読みは「ふう」（例：台風 たいふう）。
花,はな,植物の美しい部分。音読みは「か」（例：花瓶 かびん）。
木,き,植物、樹木。単独では訓読みの「き」だが、複合語では「こ」（木陰 こかげ）に変化することもある。
犬,いぬ,動物のペット。音読みは「けん」（例：番犬 ばんけん）。
猫,ねこ,動物のペット。訓読みのみで使われ、音読みはほとんど使われない。
鳥,とり,空を飛ぶ動物。音読みは「ちょう」（例：野鳥 やちょう）。
魚,さかな,水中の動物、食材としても使う。音読みは「ぎょ」（例：金魚 きんぎょ）。
肉,にく,動物の食用部分。音読みのみで訓読みは存在しない。
野菜,やさい,植物性の食材全般を指す言葉。
果物,くだもの,木になる甘い食材。「果」の訓読み「くだ」＋「物（もの）」の組み合わせ。
水,みず,生命に必要な液体。音読みは「すい」（例：水曜日 すいようび）。
米,こめ,主食となる穀物。音読みは「べい」「まい」（例：米国 べいこく）。
卵,たまご,鳥類などの生殖細胞、食材としても使う。
牛乳,ぎゅうにゅう,「牛」＋「乳」で牛から採れる乳のこと。
朝ご飯,あさごはん,朝の食事。「ご飯」は「飯（めし）」の丁寧な言い方。
昼ご飯,ひるごはん,昼の食事。
晩ご飯,ばんごはん,夜の食事。「夕ご飯（ゆうごはん）」とも言う。
食堂,しょくどう,食事をする場所。「食べる堂（建物）」の意味。
教科書,きょうかしょ,学習用の本。「教える科目の書」の意味。
辞書,じしょ,言葉を調べる本。「辞典（じてん）」とほぼ同義。
鉛筆,えんぴつ,書く道具。「鉛（なまり）の筆」が語源。
手紙,てがみ,郵送する文書。中国語の「手紙」とは意味が異なるので注意（中国語ではトイレットペーパーの意味）。
切手,きって,郵便料金の証明。「切符の手形」が語源とされる。
財布,さいふ,お金を入れる袋。
眼鏡,めがね,視力矯正の道具。当て字で、音読みの「がんきょう」とは読まない。
時計,とけい,時間を知る道具。当て字で、「とき」「けい」の単純な組み合わせではない。
傘,かさ,雨をよける道具。
靴,くつ,足に履くもの。
服,ふく,身にまとう物全般。
体,からだ,身体。音読みは「たい」（例：体育 たいいく）。
頭,あたま,体の最上部。音読みは「ず」「とう」（例：頭痛 ずつう）。
顔,かお,前面の部分。音読みは「がん」（例：顔面 がんめん）。
目,め,見る器官。音読みは「もく」（例：目的 もくてき）。
耳,みみ,聞く器官。音読みは「じ」（例：耳鼻科 じびか）。
口,くち,食べる話す器官。音読みは「こう」（例：人口 じんこう）。
手,て,上肢の末端。音読みは「しゅ」（例：選手 せんしゅ）。
足,あし,下肢。音読みは「そく」（例：満足 まんぞく）。
心,こころ,精神、感情。音読みは「しん」（例：安心 あんしん）。
力,ちから,パワー。音読みは「りょく」「りき」（例：努力 どりょく）。
声,こえ,発する音。音読みは「せい」（例：発声 はっせい）。
色,いろ,視覚的な特徴。音読みは「しょく」「しき」（例：景色 けしき）。
味,あじ,味覚。音読みは「み」（例：味方 みかた、意味 いみ）。
匂い,におい,嗅覚。訓読みのみで使われる送り仮名を含む言葉。
音,おと,聴覚的な現象。音読みは「おん」（例：発音 はつおん）。
光,ひかり,明るさ。動詞形は「光る（ひかる）」。
夢,ゆめ,睡眠中に見るイメージ、または将来の希望を表す。
朝,あさ,一日の始まりの時間帯。音読みは「ちょう」（例：朝食 ちょうしょく）。
昼,ひる,正午前後の時間帯。音読みは「ちゅう」（例：昼食 ちゅうしょく）。
夜,よる,日没後の時間帯。音読みは「や」（例：今夜 こんや）。
今朝,けさ,熟字訓。「いまあさ」「こんちょう」とは読まない。
今晩,こんばん,「今夜（こんや）」とほぼ同義。挨拶「今晩は」にも使う。
夕方,ゆうがた,日が沈むころの時間帯。「夕」は「ゆう」と読む。
午前,ごぜん,正午より前。「午」は十二支の「うま」で正午が基準。
午後,ごご,正午より後ろの時間帯。
正午,しょうご,昼の十二時ちょうどのこと。
今週,こんしゅう,この週。「週」は音読みのみの漢字。
来週,らいしゅう,次の週。「来」は未来方向を表す。
先週,せんしゅう,前の週。「先」が過去を表す使い方。
毎週,まいしゅう,週ごとに、という意味。
今月,こんげつ,この月。「月」をここでは「げつ」と読む。
来月,らいげつ,次の月。
先月,せんげつ,前の月。
毎月,まいつき,月ごとに。「まいげつ」とも読めるが「まいつき」が一般的。
週末,しゅうまつ,土日のこと。「末」は「終わり」の意味。
平日,へいじつ,月曜から金曜までの普通の日。
休日,きゅうじつ,仕事や学校が休みの日。
祝日,しゅくじつ,国が定めた祝いの休日。
誕生日,たんじょうび,生まれた日。「日」が「び」と濁る。
月曜日,げつようび,週の始まりとされる曜日。
火曜日,かようび,「火」を「か」と読む音読み。
水曜日,すいようび,「水」を「すい」と読む音読み。
木曜日,もくようび,「木」を「もく」と読む音読み。
金曜日,きんようび,「金」を「きん」と読む。単独では「かね」とも読む字。
土曜日,どようび,「土」を「ど」と読む音読み。
日曜日,にちようび,「日」を「にち」と読む音読み。
春,はる,桜の季節。音読みは「しゅん」（例：青春 せいしゅん）。
夏,なつ,暑い季節。音読みは「か」（例：夏期 かき）。
秋,あき,紅葉の季節。音読みは「しゅう」（例：秋分 しゅうぶん）。
冬,ふゆ,寒い季節。音読みは「とう」（例：冬眠 とうみん）。
季節,きせつ,春夏秋冬のそれぞれの区切り。
最近,さいきん,近ごろ。「最」は「もっとも」の意味。
最初,さいしょ,いちばん初め。
最後,さいご,いちばん終わり。
将来,しょうらい,これから先の時間。人の未来についてよく使う。
過去,かこ,過ぎ去った時間。
現在,げんざい,今この時点。
未来,みらい,まだ来ていない時間。
昔,むかし,ずっと前の時代。音読みは「せき」（例：昔日 せきじつ）。
今,いま,この瞬間。音読みは「こん」（例：今回 こんかい）。
前,まえ,位置や時間で先の方。音読みは「ぜん」（例：午前 ごぜん）。
後ろ,うしろ,背中側の方向。送り仮名「ろ」が付く。
上,うえ,高い方。音読みは「じょう」（例：屋上 おくじょう）。
下,した,低い方。「下手（へた）」など特殊な読みも多い字。
中,なか,内側。音読みは「ちゅう」（例：中学 ちゅうがく）。
外,そと,内側でない方。音読みは「がい」（例：外国 がいこく）。
右,みぎ,方向の一つ。音読みは「う」（例：右折 うせつ）。
左,ひだり,右の反対。音読みは「さ」（例：左折 させつ）。
東,ひがし,日が昇る方角。音読みは「とう」（例：東京 とうきょう）。
西,にし,日が沈む方角。音読みは「せい」「さい」（例：関西 かんさい）。
南,みなみ,方角の一つ。音読みは「なん」（例：南北 なんぼく）。
北,きた,方角の一つ。音読みは「ほく」（例：北海道 ほっかいどう）。
近く,ちかく,距離が短い場所。形容詞形は「近い（ちかい）」。
遠く,とおく,距離が長い場所。「とうく」と書かないよう注意。
隣,となり,すぐ横の位置。「隣人（りんじん）」では音読み。
間,あいだ,二つのものに挟まれた部分。時間にも空間にも使う。
横,よこ,水平方向、またはそば。音読みは「おう」（例：横断 おうだん）。
奥,おく,入り口から遠い内部。「奥さん」は他人の妻の敬称。
表,おもて,外側・正面。音読みは「ひょう」（例：発表 はっぴょう）。
裏,うら,表の反対側。「裏口 うらぐち」のように複合語でも使う。
真ん中,まんなか,ちょうど中央。「真」が「まん」と読む特殊な形。
方向,ほうこう,向いている方角。
場所,ばしょ,ところ。「場」は訓読みで「ば」。
地図,ちず,土地の様子を描いた図。「図」をここでは「ず」と読む。
住所,じゅうしょ,住んでいる場所の表記。
番号,ばんごう,順番を示す数字。
名字,みょうじ,姓のこと。「名」を「みょう」と読む珍しい例。
半分,はんぶん,二分の一。
全部,ぜんぶ,すべて。反対語は「一部（いちぶ）」。
少し,すこし,量が小さいこと。「少ない（すくない）」と読み分けに注意。
沢山,たくさん,量が多いこと。仮名書きされることが多い。
一つ,ひとつ,和語の数え方。「いち」ではなく「ひと」と読む。
二つ,ふたつ,和語の数え方。「に」ではなく「ふた」と読む。
一人,ひとり,熟字訓。「いちにん」とは日常では読まない。
二人,ふたり,熟字訓。三人からは「さんにん」と音読みになる。
百,ひゃく,数の100。「三百 さんびゃく」「六百 ろっぴゃく」と音が変わる。
千,せん,数の1000。「三千 さんぜん」では濁る。
万,まん,数の10000。「一万」のように前に「一」を付けて使う。
円,えん,日本の通貨単位。「丸い」という意味もある字。
男,おとこ,男性。音読みは「だん」（例：男性 だんせい）。
女,おんな,女性。音読みは「じょ」（例：女性 じょせい）。
男性,だんせい,大人の男の丁寧な言い方。
女性,じょせい,大人の女の丁寧な言い方。
赤ちゃん,あかちゃん,乳児。「赤ん坊（あかんぼう）」とも言う。
息子,むすこ,自分の男の子ども。他人の息子は「息子さん」。
娘,むすめ,自分の女の子ども。他人の娘は「娘さん」。
夫,おっと,自分の配偶者（男）。他人の夫は「ご主人」。
妻,つま,自分の配偶者（女）。他人の妻は「奥さん」。
祖父,そふ,自分の祖父を指す言葉。話しかけるときは「おじいさん」。
祖母,そぼ,自分の祖母を指す言葉。話しかけるときは「おばあさん」。
孫,まご,子どもの子ども。
親戚,しんせき,血縁や婚姻でつながる人々。
恋人,こいびと,交際相手。「恋」の訓読みは「こい」。
客,きゃく,訪ねて来る人・買い物をする人。「お客さん」と丁寧に言うことが多い。
店員,てんいん,店で働く人。「ん」が続く発音に注意。
医者,いしゃ,病気を治す職業。丁寧には「お医者さん」。
看護師,かんごし,病院で患者の世話をする職業。
警察,けいさつ,治安を守る組織。「警察官」はそこで働く人。
消防士,しょうぼうし,火事を消す職業。
運転手,うんてんしゅ,乗り物を運転する職業。
歌手,かしゅ,歌を職業にする人。「手」は「〜する人」の意味。
選手,せんしゅ,スポーツをする人。「選ばれた人」が語源。
作家,さっか,文章を書く職業。「家」は「〜する人」を表す。
記者,きしゃ,ニュースを取材して書く人。「汽車」「帰社」と同音。
弁護士,べんごし,法律の専門家。「士」は資格職に付く。
社長,しゃちょう,会社のトップ。
部長,ぶちょう,部門の責任者。
上司,じょうし,職場で自分より上の立場の人。
同僚,どうりょう,同じ職場で働く仲間。
店,みせ,商品を売る場所。音読みは「てん」（例：店員 てんいん）。
本屋,ほんや,本を売る店。「屋」は店や職業を表す接尾語。
花屋,はなや,花を売る店。
八百屋,やおや,野菜を売る店。熟字訓の代表例。
喫茶店,きっさてん,コーヒーなどを飲む店。「喫」は「飲む・吸う」の意味。
郵便局,ゆうびんきょく,手紙や荷物を扱う場所。
交番,こうばん,街の小さな警察施設。
公園,こうえん,誰でも使える広場。
動物園,どうぶつえん,動物を見せる施設。
美術館,びじゅつかん,絵や彫刻を展示する施設。
博物館,はくぶつかん,歴史や科学の資料を展示する施設。
神社,じんじゃ,神道の宗教施設。鳥居がある。
寺,てら,仏教の宗教施設。音読みは「じ」（例：東大寺 とうだいじ）。
教会,きょうかい,キリスト教の宗教施設。
大学,だいがく,高等教育機関。「大学生」はそこで学ぶ人。
高校,こうこう,「高等学校」の略。
中学校,ちゅうがっこう,小学校の次の三年間の学校。
小学校,しょうがっこう,六年間の初等教育の学校。
幼稚園,ようちえん,就学前の子どもの教育施設。
工場,こうじょう,物を作る施設。「こうば」と読むと小規模な印象になる。
事務所,じむしょ,事務作業をする場所。オフィス。
受付,うけつけ,来訪者に対応する場所・係。
入口,いりぐち,入るところ。「はいりぐち」とは読まない。
出口,でぐち,出るところ。
非常口,ひじょうぐち,緊急時に使う出口。
屋上,おくじょう,建物のいちばん上の平らな場所。「屋」をここでは「おく」と読む。
地下,ちか,地面より下。「地下鉄」「地下街」など複合語も多い。
階段,かいだん,上下をつなぐ段。
廊下,ろうか,建物内の通路。
台所,だいどころ,料理をする場所。「キッチン」とも言う。
玄関,げんかん,家の正式な出入り口。
庭,にわ,家に付属する屋外の空間。
窓,まど,光や風を入れる開口部。
壁,かべ,部屋を仕切る面。
床,ゆか,部屋の足元の面。「とこ」と読むと「床の間」など別の意味。
天井,てんじょう,部屋の上の面。
屋根,やね,建物のいちばん上の覆い。
門,もん,敷地の出入り口。音読みそのままで使う。
橋,はし,川などを渡るための建造物。「箸（はし）」とはアクセントが違う。
道,みち,人や車が通るところ。音読みは「どう」（例：道路 どうろ）。
道路,どうろ,車が通る道。
交差点,こうさてん,道が交わる場所。
信号,しんごう,交通を制御する灯り。
歩道,ほどう,人が歩くための道。
電車,でんしゃ,電気で走る列車。
地下鉄,ちかてつ,地下を走る鉄道。
新幹線,しんかんせん,高速鉄道。「幹線」は主要路線の意味。
飛行機,ひこうき,空を飛ぶ乗り物。
船,ふね,水上の乗り物。音読みは「せん」（例：風船 ふうせん）。
自転車,じてんしゃ,ペダルで走る二輪車。「じでんしゃ」と濁らない。
自動車,じどうしゃ,エンジンで走る車の正式な言い方。
車,くるま,自動車のこと。音読みは「しゃ」（例：電車 でんしゃ）。
切符,きっぷ,乗車券。「切」が促音「きっ」になる。
荷物,にもつ,持ち運ぶ物。「荷」の訓読みは「に」。
旅行,りょこう,旅をすること。「旅」の訓読みは「たび」。
出張,しゅっちょう,仕事で遠くへ行くこと。
予約,よやく,前もって約束しておくこと。
観光,かんこう,名所を見て回ること。
温泉,おんせん,地中から湧く温かい湯。
外国,がいこく,自分の国以外の国。
外国人,がいこくじん,外国の人。「人」をここでは「じん」と読む。
世界,せかい,地球上の全体。
地球,ちきゅう,私たちの住む惑星。
国,くに,国家。音読みは「こく」（例：外国 がいこく）。
島,しま,水に囲まれた陸地。音読みは「とう」（例：半島 はんとう）。
湖,みずうみ,大きな淡水の水域。「水の海」が語源。
池,いけ,小さな水域。
森,もり,木がたくさん茂った場所。「林」より大きい。
林,はやし,木が生えた場所。「森」より小さい。
星,ほし,夜空に光る天体。音読みは「せい」（例：火星 かせい）。
月,つき,夜空の衛星、または暦のひと月。音読みは「げつ」「がつ」。
太陽,たいよう,昼の空に輝く恒星。
石,いし,岩の小さいもの。音読みは「せき」（例：宝石 ほうせき）。
土,つち,地面の土壌。音読みは「ど」（例：土地 とち）。
砂,すな,細かい石の粒。
波,なみ,水面の上下運動。
雲,くも,空に浮かぶ水滴の塊。「蜘蛛（くも）」と同音。
虹,にじ,雨上がりに見える七色の弧。
台風,たいふう,夏から秋に来る強い暴風雨。
地震,じしん,大地が揺れる現象。「自信」と同音。
火事,かじ,火災のこと。「家事（かじ）」と同音なので文脈に注意。
事故,じこ,思いがけない悪い出来事。
料理,りょうり,食べ物を作ること、または作った食べ物。
朝食,ちょうしょく,朝ご飯の改まった言い方。「朝」をここでは「ちょう」と読む。
昼食,ちゅうしょく,昼ご飯の改まった言い方。
夕食,ゆうしょく,晩ご飯の改まった言い方。
食事,しょくじ,食べること全般。
弁当,べんとう,持ち運ぶ食事。「お弁当」と言うことが多い。
食べ物,たべもの,食べる物の総称。
飲み物,のみもの,飲む物の総称。
お茶,おちゃ,茶葉の飲み物。「茶」単独では「ちゃ」。
紅茶,こうちゃ,発酵させた茶。「紅」は「べに」とも読む字。
牛肉,ぎゅうにく,牛の肉。「牛」をここでは「ぎゅう」と読む。
豚肉,ぶたにく,豚の肉。「豚」の訓読みは「ぶた」。
鶏肉,とりにく,鶏の肉。「けいにく」という読みもあるが日常では「とりにく」。
刺身,さしみ,生の魚を切った料理。
寿司,すし,酢飯に魚をのせた料理。当て字。
味噌汁,みそしる,味噌を溶いた汁物。
砂糖,さとう,甘い調味料。
塩,しお,しょっぱい調味料。音読みは「えん」（例：食塩 しょくえん）。
醤油,しょうゆ,大豆から作る茶色い調味料。
油,あぶら,液体の脂。音読みは「ゆ」（例：石油 せきゆ）。
酒,さけ,アルコール飲料。「お酒」と言うことが多い。
氷,こおり,凍った水。「こうり」と書かないよう注意。
お湯,おゆ,温かい水。「湯」単独では「ゆ」。
お菓子,おかし,甘い間食。「菓子」単独では「かし」。
飴,あめ,砂糖から作る甘い菓子。「雨」と同音だがアクセントが違う。
林檎,りんご,赤い果物。かな書きが普通で漢字は難読。
蜜柑,みかん,冬の柑橘類。
葡萄,ぶどう,房になる果物。
苺,いちご,赤い小さな果物。
桃,もも,夏の甘い果物。音読みは「とう」。
梨,なし,シャリシャリした果物。「無し」と同音。
豆,まめ,大豆や小豆などの種子。音読みは「とう」（例：納豆 なっとう）。
芋,いも,土の中にできる食材。「お芋」とも言う。
人参,にんじん,オレンジ色の野菜。
大根,だいこん,白い大きな根菜。
玉ねぎ,たまねぎ,丸い野菜。「玉」は「たま」と訓読み。
箸,はし,食事に使う二本の棒。「橋」と同音だがアクセントが違う。
皿,さら,食器。「お皿」と言うことが多い。
茶碗,ちゃわん,ご飯を盛る食器。
包丁,ほうちょう,料理用の刃物。
鍋,なべ,煮る調理器具。鍋料理そのものも指す。
冷蔵庫,れいぞうこ,食品を冷やす電化製品。
掃除機,そうじき,ごみを吸う電化製品。
机,つくえ,作業する台。音読みは「き」（例：机上 きじょう）。
椅子,いす,座る家具。
棚,たな,物を置く板状の家具。
本棚,ほんだな,本を並べる棚。「たな」が「だな」と濁る。
引き出し,ひきだし,机などの引いて開ける収納。
鏡,かがみ,姿を映す道具。
布団,ふとん,寝るときに敷く・掛ける寝具。
枕,まくら,頭をのせる寝具。
毛布,もうふ,毛織りの掛け物。
石鹸,せっけん,体や手を洗う洗剤。
歯磨き,はみがき,歯を磨くこと。「歯磨き粉」は練り歯磨きのこと。
鞄,かばん,物を入れて持ち歩く袋。
袋,ふくろ,物を入れる柔らかい入れ物。
箱,はこ,物を入れる固い入れ物。
紙,かみ,書いたり包んだりする素材。「髪」「神」と同音。
定規,じょうぎ,線を引く道具。
筆,ふで,毛の筆記具。音読みは「ひつ」（例：鉛筆 えんぴつ）。
字,じ,文字のこと。「字が上手」のように使う。
文字,もじ,言葉を書き表す記号。
文章,ぶんしょう,まとまった文のつながり。
文法,ぶんぽう,言葉の規則。
単語,たんご,言葉の最小単位。
言葉,ことば,言語・単語・表現の総称。
意味,いみ,言葉が表す内容。
質問,しつもん,分からないことを尋ねること。
答え,こたえ,質問への返答。動詞形は「答える（こたえる）」。
宿題,しゅくだい,家でやる課題。
試験,しけん,学力などを測るテスト。
授業,じゅぎょう,学校で教わる時間。
練習,れんしゅう,繰り返して身につけること。
復習,ふくしゅう,習ったことをもう一度学ぶこと。
予習,よしゅう,習う前に自分で学んでおくこと。
説明,せつめい,分かるように述べること。
例,れい,具体的な見本。「例えば（たとえば）」の形でよく使う。
問題,もんだい,解くべき課題、または困りごと。
正解,せいかい,正しい答え。
間違い,まちがい,正しくないこと。動詞形は「間違える」。
点数,てんすう,テストなどの得点。
成績,せいせき,学業や仕事の結果の評価。
卒業,そつぎょう,学校の課程を終えること。
入学,にゅうがく,学校に入ること。
留学,りゅうがく,外国で学ぶこと。
専門,せんもん,特定の分野。「専門家」はその道のプロ。
研究,けんきゅう,深く調べること。
科学,かがく,自然の法則を調べる学問。「化学（かがく）」と同音。
数学,すうがく,数や図形の学問。
歴史,れきし,過去の出来事の記録。
英語,えいご,英国・米国などの言語。
国語,こくご,自国の言語、学校の教科名。
日本語,にほんご,日本の言語。「にっぽんご」とはあまり読まない。
漢字,かんじ,中国から伝わった文字。「感じ」と同音。
平仮名,ひらがな,日本の表音文字の一つ。漢字を崩して生まれた。
片仮名,かたかな,外来語などに使う表音文字。
行く,いく,移動の基本動詞。「ゆく」とも読むがやや文語的。
来る,くる,不規則動詞。「来ます（きます）」「来ない（こない）」と読みが変わる。
帰る,かえる,家や元の場所に戻ること。「返る」「換える」と同音。
歩く,あるく,足で移動すること。
走る,はしる,速く移動すること。ら行五段動詞。
泳ぐ,およぐ,水の中を進むこと。
飛ぶ,とぶ,空中を移動すること。「跳ぶ」と書くとジャンプの意味。
乗る,のる,乗り物に入る・またがること。助詞は「に」を使う（電車に乗る）。
降りる,おりる,乗り物から出ること。「雨が降る（ふる）」と読み分けに注意。
出る,でる,中から外へ移動すること。対義語は「入る」。
入る,はいる,外から中へ移動すること。「入り口（いりぐち）」では「いり」。
開ける,あける,閉じている物を開くこと。「空ける」「明ける」と同音。
閉める,しめる,開いている物を閉じること。「締める」「占める」と同音。
立つ,たつ,直立すること。「建つ」「経つ」と同音。
座る,すわる,腰を下ろすこと。
寝る,ねる,眠ること、横になること。
起きる,おきる,目を覚ますこと、立ち上がること。
休む,やすむ,活動をやめて休息すること。
働く,はたらく,仕事をすること。「動く」が字の中に入っている。
遊ぶ,あそぶ,楽しみのために時間を過ごすこと。
教える,おしえる,知識を伝えること。対義語は「習う（ならう）」。
覚える,おぼえる,記憶すること。対義語は「忘れる」。
忘れる,わすれる,記憶から消えること。
思う,おもう,心の中で感じ考えること。
考える,かんがえる,頭で論理的に判断すること。
知る,しる,情報を得ること。「知っている」の形でよく使う。
話す,はなす,言葉で伝えること。「離す」「放す」と同音。
聞く,きく,音声を耳で受けること、尋ねること。
読む,よむ,文字を理解すること。
書く,かく,文字を記すこと。「描く」と書くと絵をかく意味。
見る,みる,目で認識すること。
言う,いう,言葉を発すること。発音は「ゆう」に近くなる。
会う,あう,人と対面すること。「合う」「遭う」と同音。
待つ,まつ,来るのを止まって期待すること。「松」と同音。
持つ,もつ,手に取る・所有すること。
使う,つかう,道具などを役立てること。
作る,つくる,物を生み出すこと。「造る」「創る」とも書く。
買う,かう,お金を払って手に入れること。「飼う」と同音。
売る,うる,お金と引き換えに渡すこと。
払う,はらう,お金を渡すこと。「支払う（しはらう）」とも言う。
借りる,かりる,一時的に使わせてもらうこと。対義語は「貸す」。
貸す,かす,一時的に使わせてあげること。
返す,かえす,借りた物を戻すこと。「帰す」と同音。
送る,おくる,物や人を届けること。「贈る」と書くとプレゼントの意味。
選ぶ,えらぶ,複数の中から決めること。
探す,さがす,見つけようとすること。「捜す」とも書く。
始める,はじめる,開始すること。自動詞は「始まる」。
終わる,おわる,物事が済むこと。他動詞は「終える」。
洗う,あらう,水などで汚れを落とすこと。
着る,きる,衣服を身につけること。「切る」と同音だがアクセントが違う。
脱ぐ,ぬぐ,身につけている物を外すこと。
食べる,たべる,食物を口にすること。
飲む,のむ,液体を体に入れること。薬にも「飲む」を使う。
笑う,わらう,楽しさを顔や声に出すこと。
泣く,なく,涙を流すこと。「鳴く」は動物の声。
死ぬ,しぬ,命を失うこと。な行五段活用の唯一の動詞。
生きる,いきる,命がある状態を続けること。「生」は読み方が非常に多い字。
住む,すむ,場所を定めて暮らすこと。「済む」と同音。
大きい,おおきい,サイズが大の形容詞。「おうきい」と書かないよう注意。
小さい,ちいさい,サイズが小の形容詞。
高い,たかい,高さ・値段の両方に使う。値段の対義語は「安い」。
安い,やすい,値段が低いこと。「休み」と混同しない。
低い,ひくい,高さが小さいこと。身長や温度にも使う。
長い,ながい,長さがあること。時間にも使う。
短い,みじかい,長さが小さいこと。
新しい,あたらしい,できて間もないこと。「あらたしい」が変化した読み。
古い,ふるい,時間が経っていること。
悪い,わるい,良くないこと。
早い,はやい,時刻・時期が前であること。速度には「速い」を使う。
遅い,おそい,時刻が後、または速度が小さいこと。
近い,ちかい,距離・時間が短いこと。
遠い,とおい,距離が長いこと。「とうい」と書かないよう注意。
広い,ひろい,面積が大きいこと。
狭い,せまい,面積が小さいこと。
重い,おもい,重量が大きいこと。「思い」と同音。
軽い,かるい,重量が小さいこと。
強い,つよい,力があること。
弱い,よわい,力がないこと。
明るい,あかるい,光が多いこと。性格にも使う。
暗い,くらい,光が少ないこと。「位（くらい）」と同音。
暑い,あつい,気温が高いこと。物の温度には「熱い」を使う。
寒い,さむい,気温が低いこと。物には「冷たい」を使う。
冷たい,つめたい,物の温度が低いこと。態度にも使う。
暖かい,あたたかい,気温がほどよく高いこと。会話では「あったかい」とも。
涼しい,すずしい,気温がほどよく低いこと。
甘い,あまい,砂糖のような味。基準がゆるい意味にも使う。
苦い,にがい,コーヒーのような味。「苦しい（くるしい）」と読み分けに注意。
美味しい,おいしい,味が良いこと。「美味」単独では「びみ」と読む。
楽しい,たのしい,愉快なこと。「楽（らく）」と読むと「簡単・気楽」の意味。
嬉しい,うれしい,喜ばしい気持ち。
悲しい,かなしい,泣きたくなる気持ち。動詞形は「悲しむ」。
怖い,こわい,恐ろしい気持ち。
