word,translation,explanation
문화,文化,「문화」は漢字語「文化」に由来する。
시간,時間,「시간」は漢字語「時間」に由来する。
원,ウォン (通貨),「원」は韓国の通貨単位（₩）で、数字の後に付ける（例：1000원）。
주다,あげる,「주다」は「あげる」を意味し、他の動詞に「-아/어 주다」の形で付くと「〜してあげる」を表す。
먹다,食べる,「먹다」は「食べる」を意味する。尊敬形は「드시다／잡수시다」。
마시다,飲む,「마시다」は「飲む」を意味する。
보다,見る,「보다」は「見る」を意味するほか、「-아/어 보다」の形で「〜してみる」という補助動詞としても使われる。
듣다,聞く,「듣다」はㄷ不規則用言で、母音の前でㄷがㄹに変わる（듣어요ではなく들어요）。
자다,寝る,「자다」は「寝る」を意味する。尊敬形は「주무시다」。
일어나다,起きる,「일어나다」は「일어（起き）」＋「나다（起こる）」からなり、「起きる」を意味する。
공부하다,勉強する,名詞「공부（勉強）」＋「하다」。
일하다,働く,名詞「일（仕事）」＋「하다」。
사다,買う,「사다」は「買う」を意味し、「팔다（売る）」の対義語。
팔다,売る,「팔다」はㄹ語幹用言（例：팝니다、팔습니다ではない）。
만들다,作る,「만들다」もㄹ語幹用言（例：만듭니다）。
쓰다,書く / 使う (苦い),「쓰다」には「書く」「使う」「（味が）苦い」の三つの意味があり、綴り・発音は同じ。
읽다,読む,「읽다」のパッチムㄺは後続の音によって発音が変わる（읽어요[일거요]、읽고[일꼬]）。
좋아하다,好きだ,「좋다（良い）」＋「아하다」で「好む」を意味し、自分の好みだけでなく他人の好みを述べるときにも使う動詞。
싫어하다,嫌いだ,「좋아하다」の反対で「嫌う」を意味する。
배우다,学ぶ,「배우다」は「学ぶ」を意味し、「가르치다（教える）」の対義語。
가르치다,教える,「가르치다」は「教える」を意味する。発音・形が似ている「가리키다（指す）」と混同しやすいので注意。
쉬다,休む,「쉬다」は「休む」を意味する。
기다리다,待つ,「기다리다」は「待つ」を意味する。
만나다,会う,「만나다」は「会う」を意味し、「〜와/과」ではなく目的格助詞「을/를」を取る（例：친구를 만나다）。
웃다,笑う,「웃다」は「笑う」を意味する。
울다,泣く,「울다」は「泣く」を意味するㄹ語幹用言。
찾다,探す / 見つける,「찾다」は「探す」「見つける」に加え、「（お金を）下ろす」（돈을 찾다）の意味でも使う。
열다,開ける,「열다」は「開ける」を意味するㄹ語幹用言。
닫다,閉める,「닫다」は「閉める」を意味する。
입다,着る,「입다」は服を「着る」を意味する。
벗다,脱ぐ,「벗다」は「脱ぐ」を意味し、「입다」の対義語。
앉다,座る,「앉다」は「座る」を意味する。
서다,立つ,「서다」は「立つ」を意味する。
걷다,歩く,「걷다」はㄷ不規則用言で「걸어요」のように活用する（걷어요ではない）。
뛰다,走る,「뛰다」は口語的な「走る」を意味する。よりフォーマルな「走る」は「달리다」。
전화하다,電話する,名詞「전화（電話）」＋「하다」。
가지다,持つ,「가지다」は「持つ」を意味し、口語では「갖다」と縮まることが多い。
시작하다,始まる,「시작하다」は基本的に他動詞「〜を始める」で使われ、自動詞「始まる」に当たるのは「시작되다」。
끝나다,終わる,「끝나다」は自動詞で「終わる」を意味する。
도와주다,手伝う,「돕다（助ける、ㅂ不規則）」＋「주다」で「〜のために手伝う」を意味する。
물어보다,尋ねる,「묻다（尋ねる、ㄷ不規則）」＋「보다」で「聞いてみる」を意味する。
필요하다,必要だ,漢字語「필요（必要）」＋「하다」。
작다,小さい,「작다」は「小さい」を意味し、「크다」の対義語。
적다,少ない,「적다」は数量が「少ない」ことを意味する。大きさを表す「작다」と混同しやすいので注意。
길다,長い,「길다」はㄹ語幹の「長い」（깁니다）。
짧다,短い,「짧다」は「短い」を意味し、「길다」の対義語。
높다,高い,「높다」は高さ・レベルの「高い」を意味する（値段には使わない）。
낮다,低い,「낮다」は「低い」を意味し、「높다」の対義語。
빠르다,速い,「빠르다」は르不規則用言で「빨라(요)」のように活用する（빠르아ではない）。
느리다,遅い,「느리다」は「遅い」を意味し、「빠르다」の対義語。
쉽다,易しい,「쉽다」はㅂ不規則用言で「쉬워요」のように活用する。
어렵다,難しい,「어렵다」もㅂ不規則で「어려워요」。
깨끗하다,きれいだ,「깨끗하다」は「清潔だ」を意味し、「きれい」と訳されがちな「예쁘다（可愛い）」とは韓国語では区別される。
더럽다,汚い,「더럽다」はㅂ不規則で「더러워요」（汚い）。
비싸다,高い (値段),「비싸다」は値段が「高い」ことを表し、高さを表す「높다」とは別語。
싸다,安い,「싸다」は「安い」を意味し、「비싸다」の対義語。同じ形で「包む」を意味する同音異義語もある。
덥다,暑い (気温),「덥다」はㅂ不規則（더워요）で、気温にのみ使う「暑い」。物が熱い場合は「뜨겁다」を使う。
춥다,寒い (気温),「춥다」もㅂ不規則（추워요）で、気温にのみ使う「寒い」。「덥다」の対義語。
맛있다,おいしい,「맛（味）」＋「있다」で「おいしい」を意味する。
재미있다,面白い,「재미（面白み）」＋「있다」で「面白い」を意味する。
예쁘다,きれいだ / 可愛い,「예쁘다」は으不規則（예뻐요）で、「きれい・可愛い」を人にも物にも使う。
건강하다,元気だ,漢字語「건강（健康）」＋「하다」で、相手の健康を気遣う挨拶にもよく使われる。
학교,学校,「학교」は漢字語「学校」に由来する。
돈,お金,「돈」は「お金」を意味する固有語。
오늘,今日,「오늘」は「今日」を意味する固有語。
내일,明日,「내일」は漢字語「来日」に由来し、「明日」を意味する。
어제,昨日,「어제」は「昨日」を意味する固有語。
지금,今,「지금」は漢字語「只今」に由来し、「今」を意味する。
친구,友達,「친구」は漢字語「親旧」に由来し、「友達」を意味する。
가족,家族,「가족」は漢字語「家族」に由来する。
학생,学生,「학생」は漢字語「学生」に由来する。
선생님,先生,「선생（先生）」＋敬称「님」からなり、教師への呼びかけだけでなく丁寧な呼称としても使われる。
음식,食べ物,「음식」は漢字語「飲食」に由来し、「食べ物」を意味する。
물,水,「물」は「水」を意味する固有語。
밥,ご飯,「밥」は炊いた「ご飯」を意味する固有語で、広く「食事」全般も指す。
나오다,出てくる,「나다（出る）」＋「오다（来る）」で「出てくる」を意味する。
살다,生きる / 住む,「살다」はㄹ語幹用言で、「生きる」と「住む」の両方の意味を持つ。
통하다,通じる,漢字語「통（通）」＋「하다」で「通じる」を意味する。
싶다,〜したい,「싶다」は「-고」の後に付いて願望を表す補助形容詞（例：가고 싶다 行きたい）。
지나다,過ぎる,「지나다」は「（時間・場所を）過ぎる」を意味する。
이야기하다,話す,名詞「이야기（話）」＋「하다」。
사랑하다,愛する,名詞「사랑（愛）」＋「하다」。
결혼하다,結婚する,漢字語「결혼（結婚）」＋「하다」。
걱정하다,心配する,名詞「걱정（心配）」＋「하다」。
준비하다,準備する,漢字語「준비（準備）」＋「하다」。
사용하다,使う,漢字語「사용（使用）」＋「하다」で、「쓰다」よりやや硬い言い方。
따뜻하다,暖かい,「따뜻하다」は固有語の形容詞で「暖かい」を意味する。
피곤하다,疲れている,漢字語「피곤（疲困）」＋「하다」で「疲れている」を意味する。
배고프다,お腹が空く,「배（お腹）」＋「고프다（空いている、으不規則：고파요）」からなる。
목마르다,喉が渇く,「목（喉）」＋「마르다（渇く、르不規則：말라요）」からなる。
아프다,痛い / 病気だ,「아프다」は으不規則（아파요）で、「痛い」と「病気だ」の両方を表す。
슬프다,悲しい,「슬프다」は으不規則（슬퍼요）で「悲しい」を意味する。
행복하다,幸せだ,漢字語「행복（幸福）」＋「하다」。
짜다,塩辛い,「짜다」は固有語の形容詞「塩辛い」。同じ形で「絞る・計画する」を意味する動詞の同音異義語もある。
맵다,辛い,「맵다」はㅂ不規則（매워요）で「辛い」を意味する。
달다,甘い,「달다」はㄹ語幹用言で「甘い」を意味する。
바쁘다,忙しい,「바쁘다」は으不規則（바빠요）で「忙しい」を意味する。
조용하다,静かだ,「조용하다」は固有語由来の形容詞で「静かだ」を意味する。
시끄럽다,うるさい,「시끄럽다」はㅂ不規則（시끄러워요）で「うるさい」を意味し、「조용하다」の対義語。
깨지다,割れる / 壊れる,「깨지다」は他動詞「깨다（割る）」の受身形で「割れる」を意味する。
주인,主人 / オーナー,「주인」は漢字語「主人」に由来し、「持ち主・オーナー」を意味する。
이름,名前,「이름」は「名前」を意味する固有語。
날,日,「날」は「日」を意味する固有語（漢字語の「일」と対応）。
달,月,「달」は「月（天体）」と「月（暦の単位）」の両方を意味する固有語。
방,部屋,「방」は漢字語「房」に由来し、「部屋」を意味する。
길,道,「길」は「道」を意味する固有語。
몸,体,「몸」は「体」を意味する固有語。
손,手,「손」は「手」を意味する固有語。
발,足,「발」は「足」を意味する固有語。
머리,頭 / 髪,「머리」は口語で「頭」と「髪」の両方を表す。
눈,目 / 雪,「눈」は「目」と「雪」の同音異義語で、綴り・発音は同じで文脈で区別する。
코,鼻,「코」は「鼻」を意味する固有語。
입,口,「입」は「口」を意味する固有語。
귀,耳,「귀」は「耳」を意味する固有語。
가슴,胸,「가슴」は「胸」を意味する固有語。
배,お腹,「배」は「お腹」「船」「梨」の同音異義語で、文脈で区別する。
기분,気分,「기분」は漢字語「気分」に由来する。
생일,誕生日,「생일」は漢字語「生日」に由来し、「誕生日」を意味する。
날씨,天気,「날씨」は固有語の複合語で「天気」を意味する。
문제,問題,「문제」は漢字語「問題」に由来する。
차,車 / お茶,「차」は「車」と「お茶」の同音異義語（それぞれ漢字語「車」「茶」に由来）で、文脈で区別する。
버스,バス,"「버스」は英語 ""bus"" からの外来語。"
택시,タクシー,"「택시」は英語 ""taxi"" からの外来語。"
역,駅,「역」は漢字語「駅」に由来する。
공항,空港,「공항」は漢字語「空港」に由来する。
병원,病院,「병원」は漢字語「病院」に由来する。
은행,銀行,「은행」は漢字語「銀行」に由来する。
시장,市場,「시장」は漢字語「市場」に由来する。
가게,店,「가게」は「店」を意味する固有語。
지갑,財布,「지갑」は漢字語「紙匣」に由来し、「財布」を意味する。
선물,プレゼント,「선물」は漢字語「膳物」に由来し、「プレゼント」を意味する。
책상,机,「책상」は漢字語「冊床」に由来し、「机」を意味する。
의자,椅子,「의자」は漢字語「椅子」に由来する。
신문,新聞,「신문」は漢字語「新聞」に由来する。
텔레비전,テレビ,"「텔레비전」は英語 ""television"" からの外来語で、略して「TV／티비」とも言う。"
라디오,ラジオ,"「라디오」は英語 ""radio"" からの外来語。"
컴퓨터,コンピューター,"「컴퓨터」は英語 ""computer"" からの外来語。"
휴대폰,携帯電話,「휴대（携帯、漢字語）」＋「폰（phone）」からなる。
사진,写真,「사진」は漢字語「写真」に由来する。
노래,歌,「노래」は「歌」を意味する固有語。
춤,ダンス,「춤」は「ダンス」を意味する固有語。
운동,運動,「운동」は漢字語「運動」に由来する。
여행,旅行,「여행」は漢字語「旅行」に由来する。
계획,計画,「계획」は漢字語「計画」に由来する。
결정,決定,「결정」は漢字語「決定」に由来する。
미래,未来,「미래」は漢字語「未来」に由来する。
과거,過去,「과거」は漢字語「過去」に由来する。
오늘밤,今晩,「오늘（今日）」＋「밤（夜）」で「今晩」を意味する。
매일,毎日,「매일」は漢字語「毎日」に由来する。
잠깐,少しの間,「잠깐」は固有語の副詞で「少しの間」を意味する。
다시,再び,「다시」は固有語の副詞で「再び」を意味する。
항상,いつも,「항상」は漢字語「恒常」に由来し、「いつも」を意味する。
가끔,時々,「가끔」は固有語の副詞で「時々」を意味する。
같이,一緒に,「같이」は連音化で[가치]と発音され、「一緒に」を意味する。
혼자,一人で,「혼자」は固有語で「一人で」を意味する。
여기,ここ,「여기」は固有語の指示詞で「ここ」を意味する。
저기,あそこ,「저기」は固有語の指示詞で「あそこ」を意味する。
어디,どこ,「어디」は固有語の疑問詞で「どこ」を意味する。
왜,なぜ,「왜」は固有語の疑問詞で「なぜ」を意味する。
어떻게,どのように,「어떻게」は固有語の疑問詞で「どのように」を意味する。
몇,いくつ / 何,「몇」は助数詞の前に付く疑問詞で「いくつ」を意味する（例：몇 살 何歳）。
어떤,どんな,「어떤」は「どんな」を意味する疑問の連体形。
말하다,話す,名詞「말（言葉）」＋「하다」で「話す」を意味する。
시키다,注文する / やらせる,「시키다」は「（料理を）注文する」と「（人に）させる」の両方の意味を持つ。
넘다,越える,「넘다」は固有語の動詞で「越える・超える」を意味する。
모양,形 / 様子,「모양」は漢字語「模様」に由来し、「形・様子」を意味する。
쓰이다,使われる / 書かれる,「쓰이다」は「쓰다（使う・書く）」の受身形で「使われる・書かれる」を意味する。
데,所 / 場合,「데」は修飾節の後に続く形式名詞で、場所や状況を表す（例：가는 데 行く所）。「것」に似ているが場所・状況向け。
의하다,よる,「의하다」は主に「-에 의하면/의해」の形で「〜によれば／〜によって」を表す。
가지,種類,「가지」は「種類」を意味する名詞・助数詞（例：몇 가지 いくつかの種類）。
새롭다,新しい,「새롭다」はㅂ不規則（새로워요）で、単に「새（新）」よりも強調された「新しい」を意味する。
옛날,昔,「옛날」は固有語の複合語で「昔」を意味する。
처음,初めて,「처음」は固有語の名詞で「初めて」を意味する。
마지막,最後,「마지막」は固有語で「最後」を意味する。
곧,すぐに,「곧」は固有語の副詞で「すぐに」を意味する。
계속,ずっと / 継続,「계속」は漢字語「継続」に由来し、「ずっと」を意味する。
아마,たぶん,「아마」は固有語の副詞で「たぶん」を意味する。
여성,女性,「여성」は漢字語「女性」に由来する。
남성,男性,「남성」は漢字語「男性」に由来する。
아이,子供,「아이」は「子供」を意味する固有語で、口語では「애」と略される。
어른,大人,「어른」は「大人」を意味する固有語。
부모,両親,「부모」は漢字語「父母」に由来する。
형제,兄弟,「형제」は漢字語「兄弟」に由来する。
자매,姉妹,「자매」は漢字語「姉妹」に由来する。
고향,故郷,「고향」は漢字語「故郷」に由来する。
도시,都市,「도시」は漢字語「都市」に由来する。
마을,村,「마을」は「村」を意味する固有語。
땅,土地 / 地面,「땅」は「土地・地面」を意味する固有語。
세계,世界,「세계」は漢字語「世界」に由来する。
나라,国,「나라」は「国」を意味する固有語。
정부,政府,「정부」は漢字語「政府」に由来する。
정치,政治,「정치」は漢字語「政治」に由来する。
경제,経済,「경제」は漢字語「経済」に由来する。
역사,歴史,「역사」は漢字語「歴史」に由来する。
교육,教育,「교육」は漢字語「教育」に由来する。
직업,職業,「직업」は漢字語「職業」に由来する。
회사,会社,「회사」は漢字語「会社」に由来する。
부장,部長,「부장」は漢字語「部長」に由来する会社の役職名。
과장,課長,「과장」は漢字語「課長」に由来する会社の役職名。
사원,社員,「사원」は漢字語「社員」に由来する。
손님,お客さん,「손（客、古語）」＋敬称「님」からなり、「お客さん」を意味する。
점원,店員,「점원」は漢字語「店員」に由来する。
음료수,飲み物,「음료수」は漢字語「飲料水」に由来し、「飲み物」を意味する。
커피,コーヒー,"「커피」は英語 ""coffee"" からの外来語。"
맥주,ビール,「맥주」は漢字語「麦酒」に由来し、「ビール」を意味する。
술,酒,「술」は「酒」を意味する固有語。
담배,タバコ,「담배」は「タバコ」を意味する固有語で、語源はポルトガル語の tabaco に遡る。
옷,服,「옷」は「服」を意味する固有語。
신발,靴,「신발」は「靴」を意味する固有語。
양말,靴下,「양말」は漢字語「洋襪」に由来し、「靴下」を意味する（洋＝西洋式）。
모자,帽子,「모자」は漢字語「帽子」に由来する。
가방,カバン,「가방」は日本語の「鞄（かばん）」に由来する借用語。
색깔,色,「색깔」は固有語の複合語で「色」を意味する。
빨갛다,赤い,「빨갛다」はㅎ不規則の色彩形容詞で「빨개요」のように活用する（赤い）。
파랗다,青い,「파랗다」もㅎ不規則（파래요）で「青い」を意味する。
노랗다,黄色い,「노랗다」もㅎ不規則（노래요）で「黄色い」を意味する。
하얗다,白い,「하얗다」もㅎ不規則（하얘요）で「白い」を意味する。
까맣다,黒い,「까맣다」もㅎ不規則（까매요）で「黒い」を意味する。
무슨,何の / どんな,「무슨」は名詞の前に付く疑問の連体詞で「何の」を意味する。
어느,どの,「어느」は名詞の前に付く疑問の連体詞で「どの」を意味する。
왜냐하면,なぜなら,「왜냐하면」は「なぜなら」を意味する接続詞で、後に「-기 때문이다」の節が続くことが多い。
그러니까,だから / それで,「그렇다（そうだ）」に由来する接続詞で「だから」を意味する。
하지만,しかし,「하지만」は「しかし」を意味する接続詞。
그리고,そして,「그리고」は文をつなぐ接続詞で「そして」を意味する。
또는,または,「또는」は「または」を意味する接続詞。
다,全部,「다」は固有語の副詞で「全部・すべて」を意味する。
모두,皆,「모두」は「다」に似た意味だが名詞としても使え、「みんな」を意味する。
아주,とても,「아주」は固有語の副詞で「とても」を意味する。
별로,あまり / 特に,「별로」は漢字語「別」に由来し、否定表現とともに使われ「あまり〜ない」を意味する。
오히려,むしろ,「오히려」は固有語の副詞で「むしろ」を意味する。
따로,別々に,「따로」は固有語の副詞で「別々に」を意味する。
매우,非常に,「매우」は固有語の副詞で「非常に」を意味し、「아주」よりやや硬い。
정말,本当に,「정말」は漢字語「正」に由来し、「本当に」を意味する。
확실히,確実に,「확실히」は漢字語「確実」に由来し、「確実に」を意味する。
자주,よく / しばしば,「자주」は固有語由来の副詞で「よく・しばしば」を意味する。
보통,普通,「보통」は漢字語「普通」に由来する。
결국,結局,「결국」は漢字語「結局」に由来し、「結局は」を意味する。
드디어,ついに,「드디어」は固有語の副詞で「ついに」を意味する。
바로,すぐに,「바로」は固有語の副詞で「すぐに・まさに」を意味する。
조금,少し,「조금」は固有語で「少し」を意味し、話し言葉では「좀」と略されることが多い。
많이,たくさん,「많이」は形容詞「많다（多い）」の副詞形で「たくさん」を意味する。
가운데,真ん中,「가운데」は固有語で「真ん中」を意味する。
옆,横,「옆」は固有語で「横・隣」を意味する。
뒤,後ろ,「뒤」は固有語で「後ろ」を意味する。
앞,前,「앞」は固有語で「前」を意味し、「뒤」の対義語。
위,上,「위」は固有語で「上」を意味する。
아래,下,「아래」は固有語で「下」を意味し、「위」の対義語。
밖,外,「밖」は固有語で「外」を意味し、「안」の対義語。
안쪽,内側,「안（内）」＋「쪽（側）」で「内側」を意味する。
바깥쪽,外側,「바깥（外）」＋「쪽」で「外側」を意味する。
오른쪽,右,「오른（右の）」＋「쪽」で「右側」を意味する。
왼쪽,左,「왼（左の）」＋「쪽」で「左側」を意味する。
중앙,中央,「중앙」は漢字語「中央」に由来する。
주변,周辺,「주변」は漢字語「周辺」に由来する。
서로,お互い,「서로」は固有語の副詞で「お互いに」を意味する。
함께,共に,「함께」は固有語の副詞で「共に」を意味し、「같이」よりやや硬い。
반드시,必ず,「반드시」は固有語の副詞で「必ず」を意味する。
절대로,絶対に,「절대로」は漢字語「絶対」に由来し、否定表現とともに「絶対に（〜ない）」を意味する。
혹시,もしかして,「혹시」は漢字語「或是」に由来し、控えめに尋ねるときの「もしかして」を意味する。
만약,もし,「만약」は漢字語「万若」に由来し、「もし」を意味し「-(으)면」と共起することが多い。
물론,もちろん,「물론」は漢字語「勿論」に由来し、「もちろん」を意味する。
갑자기,急に,「갑자기」は固有語の副詞で「急に」を意味する。
천천히,ゆっくり,「천천히」は固有語の副詞で「ゆっくり」を意味する。
빨리,早く,「빨리」は「빠르다（速い）」の副詞形で「早く」を意味する。
그렇게,そのように,「그렇다（そうだ）」の副詞形で「そのように」を意味する。
이렇게,このように,「이렇다（こうだ）」の副詞形で「このように」を意味する。
저렇게,あのように,「저렇다（ああだ）」の副詞形で「あのように」を意味する。
어쩌면,ひょっとしたら,「어쩌면」は固有語の副詞で「ひょっとしたら」を意味する。
그러면,それなら,「그러면」は「それなら」を意味する接続詞で、口語では「그럼」と縮められる。
그래서,だから,「그래서」は原因と結果をつなぐ接続詞で「だから」を意味する。
그러므로,それゆえに,「그러므로」はやや硬い書き言葉の接続詞で「それゆえに」を意味する。
즉,すなわち,「즉」は漢字語「即」に由来し、「すなわち」を意味する。
역시,やはり,「역시」は漢字語「亦是」に由来し、「やはり」を意味する。
특히,特に,「특히」は漢字語「特」に由来し、「特に」を意味する。
단지,単に,「단지」は漢字語「但只」に由来し、「単に」を意味する。
다만,ただ,「다만」は固有語の副詞で「ただ」を意味し、条件を付け加えるときに使う。
뿐,〜だけ,「뿐」は用言の連体形の後に付く形式名詞で「〜だけ」を意味する（例：볼 뿐이다）。
만큼,〜ほど,「만큼」は「〜ほど」を意味する助詞・形式名詞。
처럼,〜のように,「처럼」は「〜のように」を意味する助詞。
따라,〜によって,動詞「따르다（従う）」に由来し、「-에 따라」の形で「〜によって」を表す。
부터,〜から,「부터」は時間の起点を表す助詞（例：지금부터 今から）。
까지,〜まで,「까지」は終点を表す助詞で、「부터」と対で使われることが多い。
한테,〜に (人・動物),「한테」は人や動物を表す名詞に付く「〜に」を意味する口語的な助詞で、「에게」に対応する。
에게,〜に (人・動物),「에게」は「한테」よりやや書き言葉的な「〜に」を意味する助詞。
으로,〜で / 〜へ,「으로」はパッチムのある名詞に付く「〜で／〜へ」を意味する助詞。
로,〜で / 〜へ,「로」は「으로」と同じ意味だが、パッチムのない名詞に付く。
와,〜と,「와」は「〜と」を意味する助詞で、パッチムのない名詞に付く。
과,〜と,「과」は「와」に対応するパッチムのある名詞用の形。
랑,〜と (口語),「랑」は「와」の口語形で、パッチムのない名詞に付く。
하고,〜と (口語),「하고」はパッチムの有無にかかわらず使える口語的な「〜と」を意味する助詞。
보다,〜より,動詞ではなく助詞としての「보다」は比較の基準を表し「〜より」を意味する。
밖에,〜しか,「밖에」は否定形と共に使われ「〜しか（ない）」を意味する助詞（例：하나밖에 없다）。
마다,〜ごとに,「마다」は「〜ごとに」を意味する助詞（例：날마다 毎日）。
쯤,〜くらい,「쯤」は数量・時間の後に付き「〜くらい」を意味する接尾辞。
만,〜だけ,「만」は「뿐」に似た「〜だけ」を意味する助詞で、名詞に直接付く。
또한,また,「또한」は「도」よりやや硬い「また・さらに」を意味する副詞。
모레,明後日,「모레」は「明後日」を意味する固有語。
글피,しあさって,「글피」は「明後日の次の日（しあさって）」を意味するあまり使われない固有語の時間表現。
작년,去年,「작년」は漢字語「昨年」に由来する。
내년,来年,「내년」は漢字語「来年」に由来する。
월요일,月曜日,「월（月、漢字語）」＋「요일（曜日）」で「月曜日」を意味する。
화요일,火曜日,「화（火）」＋「요일」で「火曜日」を意味する。
수요일,水曜日,「수（水）」＋「요일」で「水曜日」を意味する。
목요일,木曜日,「목（木）」＋「요일」で「木曜日」を意味する。
금요일,金曜日,「금（金）」＋「요일」で「金曜日」を意味する。
토요일,土曜日,「토（土）」＋「요일」で「土曜日」を意味する。
일요일,日曜日,「일（日）」＋「요일」で「日曜日」を意味する。
이러하다,このようだ,「이렇다」の書き言葉的なフルフォームで「このようだ」を意味する。
그러하다,そのようだ,「그렇다」の書き言葉的なフルフォームで「そのようだ」を意味する。
저러하다,あのようだ,「저렇다」の書き言葉的なフルフォームで「あのようだ」を意味する。
어떠하다,どうだ,「어떻다」の書き言葉的なフルフォームで「どうだ」を意味する。
말씀,お言葉,「말（言葉）」の尊敬語で、目上の人の話を指すときや自分の話をへりくだって言うときに使う。
자리,席,「자리」は固有語で「席」を意味する。
전,前,「전」は漢字語「前」に由来し、時間表現の後に付く（例：3시 전 3時前）。
후,後,「후」は漢字語「後」に由来し、「전」の対義語（例：3시 후 3時後）。
중,中,「중」は漢字語「中」に由来し、「〜の最中・〜の中で」を意味する（例：수업 중 授業中）。
밑,下,「밑」は固有語で「真下」を意味し、「아래」よりも具体的・物理的なニュアンスがある。
사이,間,「사이」は固有語で「間・あいだ」を意味する。
속,中,「속」は固有語で「（袋などの）中」を意味し、「안」とは少しニュアンスが異なる。
이쪽,こちら,「이（この）」＋「쪽（側）」で「こちら」を意味する。
저쪽,あちら,「저（あの）」＋「쪽」で「あちら」を意味する。
그쪽,そちら,「그（その）」＋「쪽」で「そちら」を意味する。
아침,朝,「아침」は固有語で「朝」を意味し、「朝食」の意味でも使われる。
점심,昼食,「점심」は漢字語「点心」に由来し、「昼食」を意味する。
저녁,夕食 / 夕方,「저녁」は固有語で「夕方」と「夕食」の両方を意味する。
밤,夜,「밤」は固有語で「夜」を意味する（同じ形で「栗」を意味する同音異義語もある）。
해,太陽 / 年,「해」は固有語で「太陽」を意味し、口語的に「年」を数えるときにも使われる。
바람,風,「바람」は固有語で「風」を意味する。
불,火,「불」は固有語で「火」を意味し、「電気の光」（전깃불）の意味でも使われる。
거리,街 / 距離,「거리」は「街」と「距離」の同音異義語で、文脈で区別する。
교통,交通,「교통」は漢字語「交通」に由来する。
운전,運転,「운전」は漢字語「運転」に由来する。
기차,汽車 / 列車,「기차」は漢字語「汽車」に由来し、「列車」を意味する。
지하철,地下鉄,「지하철」は漢字語「地下鉄」に由来する。
표,切符,「표」は漢字語「票」に由来し、「切符」を意味する。
비행기,飛行機,「비행기」は漢字語「飛行機」に由来する。
여권,パスポート,「여권」は漢字語「旅券」に由来し、「パスポート」を意味する。
비자,ビザ,"「비자」は英語 ""visa"" からの外来語。"
숙소,宿泊先,「숙소」は漢字語「宿所」に由来し、「宿泊先」を意味する。
